Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system: Equatorial
|name            |period               |period_error|period_dot |period_dot_error|median_mass|age     |corr_age |
|PSR J1502-6752  |0.02674442376700     |     6.0e-14|3.14500e-19|         1.4e-21|     0.0253|1.35e+09| 2.16e+09|
|PSR J1727-2946  |0.0270831832440066   |     1.2e-15|2.46320e-19|         3.0e-23|     1.0070|1.74e+09| 1.74e+09|
|PSR J1756-2251  |0.0284615890259983   |     5.0e-16|1.01750e-18|         3.0e-24|     1.3527|4.43e+08| 4.43e+08|
|PSR J0621+1002  |0.0288538611940574   |     1.6e-15|4.73000e-20|         5.0e-23|     0.5273|9.67e+09| 9.73e+09|
|PSR J1801-0857B |0.02896158842782     |     9.0e-14|2.20400e-18|         6.0e-21|     0.3769|2.08e+08| 2.10e+08|
|PSR J2129+1210C |0.03052929614864     |     1.0e-14|4.98789e-18|         2.0e-23|     1.1307|9.70e+07| 9.72e+07|
|PSR J2045+3633  |0.031681842757300    |     4.0e-15|5.88470e-19|         4.0e-23|     0.9549|8.53e+08| 8.64e+08|
|PSR J2222-0137  |0.03281785906437885  |     1.1e-16|5.80470e-19|         3.0e-23|     1.3803|8.96e+08| 9.68e+08|
|PSR J1810-2005  |0.032822244860022    |     8.0e-15|1.47420e-19|         1.2e-22|     0.3287|3.53e+09| 7.82e+09|
|PSR J1658+3630  |0.033027982326829    |     1.5e-14|1.15700e-19|         1.9e-21|     1.0655|4.52e+09| 1.46e+10|
|PSR J0709+0458  |0.0344289781774586   |     1.2e-15|3.80400e-19|         4.0e-23|     1.3481|1.43e+09| 1.43e+09|
|PSR J1537+1155  |0.03790444117830463  |     1.6e-16|2.42249e-18|         3.0e-24|     1.6243|2.48e+08| 2.54e+08|
|PSR J0348+0432  |0.0391226569017806   |     7.0e-16|2.40750e-19|         5.0e-23|     0.0974|2.57e+09| 2.64e+09|
|PSR J1518+4904  |0.0409349889083329   |     6.0e-16|2.71900e-20|         3.0e-24|     0.9935|2.39e+10| 3.22e+10|
|PSR J0453+1559  |0.0457818168729515   |     3.3e-15|1.86120e-19|         8.0e-23|     1.2771|3.90e+09| 3.98e+09|
|PSR J1302-6350  |0.0477625075         |     4.0e-10|2.27870e-15|         1.2e-18|     4.1399|3.32e+05| 3.32e+05|
|PSR J1915+1606  |0.059030003217813    |     1.1e-14|8.61830e-18|         4.0e-22|     1.0562|1.09e+08| 1.09e+08|
|PSR J1411+2551  |0.062452895517590    |     2.0e-15|9.56000e-20|         5.1e-21|     1.0187|1.04e+10| 1.08e+10|
|PSR J2016+1948  |0.064940388241514    |     6.0e-15|4.00630e-19|         6.0e-23|     0.3427|2.57e+09| 2.59e+09|
|PSR J2204+2700  |0.08470261549133     |     1.5e-13|1.31000e-19|         3.0e-21|     0.4172|1.03e+10| 1.10e+10|
|PSR J1750-3703A |0.1116008373133      |     4.0e-13|5.66100e-18|         8.0e-21|     0.6934|3.12e+08| 3.19e+08|
|PSR J2032+4127  |0.14324647           |     1.9e-07|1.13000e-14|         3.0e-16|    17.0167|2.01e+05| 2.01e+05|
|PSR J0700+6418  |0.19567094516627     |     1.6e-13|6.85300e-19|         1.2e-21|     0.7966|4.52e+09| 4.66e+09|
|PSR J1141-6545  |0.3938988148378      |     7.0e-13|4.30737e-15|         1.3e-19|     1.2133|1.45e+06| 1.45e+06|
|PSR J2108+4516  |0.5772309434487      |     1.7e-12|4.36909e-15|         7.0e-20|    16.7003|2.09e+06| 2.09e+06|
|PSR J0823+0159  |0.8648728046988      |     9.0e-13|1.04550e-16|         6.0e-21|     0.2259|1.31e+08| 1.31e+08|
|PSR J1721-1936  |1.00403745670        |     1.9e-10|1.62400e-15|         1.6e-18|     0.1340|9.80e+06| 9.80e+06|
|PSR J0737-3039B |2.77346077007        |     8.0e-11|8.92000e-16|         8.0e-18|     1.7387|4.92e+07| 4.93e+07|
